9286,7.43,40.45
9288,3.74,37.9
9295,3.54,39.75
9306,1.84,42.49
9307,2.18,46.2
9312,4.75,46.72
9315,4.39,36.81
9347,13.23,44.97
9348,4.15,44.37
9349,2.60,42.3
9350,0.74,40.7
9388,0.18,43.07
9390,3.11,38.42
9397,4.22,42.15
9398,0.11,35.73
9422,9.94,46.3
9430,2.44,40.69
9474,6.01,32.43
9478,4.03,41.27
9487,1.16,0
9492,3.29,45.54
9558,6.73,35.55
9560,6.07,43.76
9580,0.29,45.83
9583,6.87,37.96
9640,4.26,37.15
9649,3.73,35.53
9650,0.68,43.41
9654,7.37,41.57
9655,1.73,41.82
9657,0.13,41.78
9671,0.56,48.27
9675,5.10,43.75
9680,0.85,49.62
9681,4.46,38.49
9684,0.63,37.7
9721,2.13,44.07
9734,3.33,40.84
9735,4.08,41.21
9738,2.91,48.15
9741,2.70,43.11
9746,4.83,46.1
9748,3.24,45.22
9758,1.61,41.35
9763,8.51,42.72
9798,1.32,41.1
9816,0.13,44.3
9821,1.34,40.4
9827,3.40,41.29
9886,3.98,39.32
9917,0.16,38.95
9930,0.28,41.46
9932,4.50,35.77
9947,0.25,42.62
9981,9.67,0.97
9985,8.07,43.3
9987,3.42,46.6
9991,3.39,38.3
9996,6.58,38.27
10444,6.80,33.9
10520,6.57,26.3
10586,0.09,35.92
10870,3.84,34.43
10965,0.74,45
10999,6.49,40.79
11009,1.96,46.74
11013,0.37,42.66
11049,2.67,36.45
11112,5.93,40.88
11142,5.06,37.3
11179,3.76,0
11181,5.12,37.8
11186,1.18,47.2
11202,1.73,41.4
11249,0.09,40.71
11250,7.05,43.4
11256,3.79,44.2
11257,1.08,38.6
11262,0.32,35
11265,2.83,42.6
11267,0.15,41.2
11270,3.93,41.3
11271,0.46,36.4
11336,0.59,46.6
11337,6.12,43.1
11344,2.37,44.52
11346,0.51,28.9
11347,3.53,44.4
11357,3.70,36.6
11366,8.33,42
11371,5.84,39
11383,3.35,44.23
11385,0.44,43.83
11393,3.80,45.22
11433,2.70,41.8
11438,0.41,41.2
11449,2.61,43.07
11455,2.49,42.64
11456,5.04,47.79
11460,6.16,41.7
11466,2.37,45.48
11470,0.16,44.25
11503,1.10,54.3
11528,0.28,42.69
11537,0.53,38.5
11539,0.81,44.2
11550,3.67,42.7
11558,1.85,45.1
11575,0.11,38.63
11578,6.57,0.26
11587,1.24,42.7
11602,2.46,40.47
11611,0.33,42.6
11645,0.21,0
11653,1.47,40.6
11654,4.27,41.8
11658,7.75,35.85
11664,1.09,43.71
11668,4.12,40.3
11698,4.82,38.4
11739,4.19,48.6
11740,3.26,41.72
11741,3.39,42.4
11742,1.40,47.5
11746,4.88,43.15
11750,2.88,46.91
11751,0.24,40.28
11758,1.64,41.8
11763,7.39,38.14
11767,3.24,42.8
11768,5.75,40.7
11769,3.04,50.8
11798,3.05,43.5
11805,3.31,44
11808,0.49,45.95
11810,0.67,50
11824,1.69,43.03
11847,0.73,43.5
11862,0.17,40.38
11890,1.28,41.27
11891,8.94,42.7
11894,0.25,42.4
11895,9.45,38.49
11899,0.84,47.6
11900,5.19,0.01
11901,0.81,45.41
11903,0.73,42.32
11907,1.22,37.99
11909,2.88,34.3
11957,5.45,40.06
11962,3.81,46.8
11967,3.93,44.9
11983,3.46,40.7
11991,5.61,38.19
11995,0.20,43.55
11998,0.31,41.1
12000,6.96,42.82
12001,0.56,45.3
12009,2.79,41.6
12015,2.45,41.7
12030,3.03,44.1
12033,2.05,40.8
12056,9.93,39.4
12072,2.73,47.4
12077,0.13,41.92
12081,1.27,44
12084,11.53,43.63
12087,5.06,38.68
12089,7.32,40.2
12091,1.80,46.9
12094,0.59,47.6
12100,2.53,43.34
12102,7.85,40.45
12120,3.32,45.6
12127,0.13,37.6
12137,3.44,43.7
12151,3.86,36.2
12161,1.37,42.7
12175,2.39,46.3
12177,3.93,40.73
12178,8.67,50.3
12179,5.21,41.2
12180,1.76,46
12182,3.39,42.36
12185,15.18,44
12188,0.40,38.7
12195,8.86,42.3
12201,6.69,40.21
12255,5.69,40.51
12265,0.22,32.92
12266,2.11,46.8
12269,3.87,37.46
12273,3.79,41.78
12281,3.55,43.2
12283,5.39,40.01
12286,6.41,39.1
12339,4.17,53
12341,9.85,43.5
12342,2.60,42.5
12343,1.83,44.78
12345,3.65,40.08
12346,2.50,39.91
12347,1.89,39.04
12386,0.18,37.66
12390,0.83,46.1
12397,6.44,37.08
12404,1.21,40.9
12409,0.75,41.02
12410,1.85,40.98
12427,2.78,0
12465,0.47,44.5
12471,8.01,39.27
12472,1.95,47.9
12520,10.20,47.8
12529,3.34,45.7
12550,3.98,39
12552,4.18,42.76
12562,7.99,35.7
12573,0.37,43.8
12583,6.30,43.29
12587,0.70,42.78
12589,3.25,39.41
12590,2.61,37.5
12617,0.58,40.4
12634,1.65,43.4
12645,0.41,42.8
12649,1.13,45.7
12663,2.64,41.34
12671,3.63,41.7
12674,0.95,0
12694,6.34,42.19
12747,2.77,35.16
12754,2.43,46
12761,4.91,46.7
12766,0.72,46.7
12780,0.69,40.73
12789,5.35,0.09
12790,2.74,39.66
12794,2.30,38.77
12795,4.30,0.09
12832,2.16,39.98
12849,3.00,40.7
12852,2.52,44.95
12859,0.46,39.76
12863,3.89,41.5
12866,0.86,44.5
12869,0.68,42.69
12883,2.40,46.15
12889,3.94,35.01
12893,0.86,41.56
12895,0.30,45.81
12910,4.37,37.84
12922,3.76,46.3
12941,2.39,44.9
12944,3.75,41.4
12949,0.53,38.5
12951,0.27,40.42
12954,5.05,40.6
12957,3.93,39.3
12972,3.08,35.1
12974,6.04,37.11
12976,4.30,35.23
12983,0.32,41.6
12996,6.67,0.07
12997,2.05,46.4
12998,2.15,49.8
13006,0.13,36
13007,0.81,42.7
13012,8.02,0.15
13013,0.65,48.9
13018,2.31,46.8
13020,3.70,47
13053,3.33,38.4
13066,8.48,40.74
13073,1.08,36.08
13076,3.96,30.97
13080,1.24,49.9
13084,2.27,39.5
13091,3.43,44.3
13157,0.76,39.6
13172,1.62,44.49
13175,0.23,44.3
13176,0.11,38.4
13177,4.79,42.01
13178,2.05,46.3
13182,5.24,33
13184,2.36,42.7
13188,0.28,39.83
13192,6.47,41.6
13201,10.91,37.7
13226,0.76,46.4
13238,0.85,39.1
13267,3.72,40.6
13274,0.18,41.1
13276,2.18,42.4
13293,0.24,0
13299,2.87,43
13311,2.28,42.7
13377,4.30,36.38
13380,0.97,39.8
13384,8.04,0.01
13385,0.58,47.5
13393,0.24,42.25
13394,1.56,38.8
13401,0.29,39.29
13405,5.43,45.97
13414,3.43,46.8
13415,0.65,39
13452,6.66,42
13458,1.07,42.3
13476,1.61,36.76
13479,5.00,42.38
13486,10.90,41.18
13487,2.35,49.3
13496,10.14,42.33
13497,1.82,37.52
13504,8.14,50
13540,7.19,43.3
13554,4.15,42.1
13568,1.26,44.09
13587,0.15,39.03
13625,2.06,45.9
13628,3.74,43.9
13633,4.59,40.62
13661,0.21,41.07
13665,0.95,51.44
13668,1.20,42.51
13694,1.02,45.3
13700,4.01,44.4
13798,4.67,36.87
13801,2.02,42.82
13804,3.86,42.2
13813,2.07,0
13815,3.46,49.37
13906,0.12,42.18
13909,1.53,39.04
13920,1.34,44
13921,1.10,38.07
